MPH;TN;TE;TT;TN;TE;TtPNH;TN;TE;TT;TN;TE;TtMRC ;TN;TE;TT;TN;TE;MAW;TN;TE;TT;TN;TE;TtMAC
Enero;16 587;9 771;26 358;9 679;1 513;11 192;504;11;515;400;44;444;568;5;573;907;36;943;6 093;76;6 169;4 160;190;4 350
Febrero;12 630;1 057;13 687;10 931;679;11 610;550;15;565;617;21;638;488;10;498;828;5;833;5 396;107;5 503;4 887;176;5 063
Marzo;7 505;1 447;8 952;5 257;623;5 880;303;8;311;312;10;322;343;12;355;482;9;491;2 892;100;2 992;2 239;132;2 371
Abril;18 250;2 360;20 610;16 486;1 788;18 274;531;0;531;375;18;393;806;26;832;529;38;567;7 809;189;7 998;6 685;179;6 864
Mayo;14 689;4 058;18 747;6 386;2 517;8 903;341;14;355;401;43;444;607;45;652;540;41;581;5 903;296;6 199;4 841;346;5 187
Junio;10 345;4 423;14 768;11 173;3 426;14 599;509;0;509;803;53;856;1057;70;1127;420;51;471;4 968;330;5 298;5 342;418;5 760
Julio;33 118;6 013;39 131;30 415;2 717;33 132;1599;34;1 633;2 515;41;2556;2252;99;2351;1363;58;1421;6 185;13;6 198;15312;294;15 606
Agosto;30 568;5 777;36 345;26 706;4 816;31 522;1021;64;1 085;2 155;30;2185;1512;98;1610;945;61;1006;4 417;44;4 461;13 145;502;13 647
Septiembre;14 844;5 785;20 629;10 990;3 767;14 757;2796;47;2 843;3 812;28;3840;1771;101;1872;1383;49;1432;1 745;61;1 806;8 219;480;8 699
Octubre;17 205;4 805;22 010;15 557;3 932;19 489;2928;65;2 993;2 392;12;2404;710;51;761;785;39;824;8 732;200;8 932;9 226;251;9 477
Noviembre;10 911;3 067;13 978;11 469;3 713;15 182;1696;16;1 712;2 710;20;2730;961;37;998;644;37;681;5 809;253;6 062;6 976;168;7 144
Diciembre;8 164;1 692;9 856;11 422;1 624;13 046;460;10;470;1 017;13;1030;596;53;649;511;26;537;4 393;179;4 572;4 852;303;5 155
Total;194 816;50 255;245 071;166 471;31 115;197 586;13238;284;13 522;17 509;333;17842;11671;607;12278;9337;450;9787;64 342;1848;66 190;85 884;3439;89 323
